410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
540,167.0,1298.0,1205.0,1383.0,168.0,94.0,259.0,53.0,109.0,106.0,856.0,93.0,240.0,305.0,370.0,610.0,226.0,4.8
545,177.0,1311.0,1201.0,1361.0,164.0,85.0,247.0,56.0,109.0,111.0,837.0,99.0,252.0,322.0,390.0,619.0,226.0,4.8
545,178.0,1301.0,1218.0,1383.0,172.0,96.0,267.0,53.0,113.0,111.0,893.0,93.0,262.0,333.0,397.0,626.0,236.0,4.82
563,182.0,1346.0,1259.0,1411.0,169.0,86.0,254.0,56.0,112.0,114.0,906.0,102.0,259.0,331.0,400.0,626.0,235.0,4.9
706,579.0,1670.0,1632.0,1849.0,610.0,103.0,201.0,28.0,69.0,102.0,1252.0,120.0,271.0,419.0,502.0,845.0,225.0,4.9
624,236.0,1487.0,1380.0,1570.0,213.0,96.0,263.0,53.0,106.0,116.0,955.0,108.0,268.0,346.0,417.0,666.0,243.0,4.9
549,179.0,1298.0,1215.0,1390.0,178.0,103.0,276.0,51.0,116.0,107.0,899.0,91.0,248.0,324.0,388.0,628.0,235.0,4.92
553,177.0,1327.0,1255.0,1431.0,168.0,88.0,258.0,56.0,106.0,114.0,895.0,101.0,261.0,332.0,397.0,619.0,236.0,5.0
535,166.0,1285.0,1175.0,1368.0,163.0,92.0,258.0,51.0,110.0,105.0,862.0,93.0,230.0,306.0,377.0,609.0,226.0,5.0
705,598.0,1687.0,1612.0,1823.0,617.0,102.0,200.0,28.0,69.0,102.0,1263.0,120.0,270.0,424.0,500.0,851.0,221.0,5.0
604,169.0,1424.0,1328.0,1531.0,178.0,104.0,282.0,54.0,129.0,104.0,979.0,87.0,243.0,305.0,360.0,676.0,252.0,5.0
548,178.0,1304.0,1220.0,1382.0,172.0,97.0,268.0,52.0,114.0,111.0,892.0,92.0,262.0,332.0,397.0,625.0,236.0,5.02
545,180.0,1285.0,1195.0,1380.0,175.0,100.0,271.0,53.0,112.0,112.0,892.0,95.0,263.0,335.0,380.0,631.0,234.0,5.05
550,180.0,1303.0,1217.0,1390.0,178.0,101.0,273.0,52.0,114.0,107.0,896.0,92.0,252.0,323.0,388.0,629.0,233.0,5.05
608,171.0,1432.0,1339.0,1515.0,181.0,106.0,289.0,54.0,129.0,103.0,967.0,86.0,244.0,307.0,362.0,677.0,251.0,5.1
557,185.0,1305.0,1240.0,1388.0,173.0,84.0,261.0,56.0,109.0,113.0,892.0,101.0,258.0,333.0,399.0,612.0,235.0,5.1
551,177.0,1303.0,1222.0,1397.0,175.0,102.0,276.0,53.0,116.0,108.0,899.0,93.0,253.0,324.0,388.0,632.0,235.0,5.11
549,163.0,1301.0,1220.0,1381.0,161.0,96.0,273.0,55.0,120.0,112.0,889.0,93.0,261.0,332.0,398.0,625.0,238.0,5.12
